region,founder,university,admission_type,college,department,quota,applicants,rate,deadline_day,deadline_time
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,법행정세무학부(야),22,9,0.41,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,국제관계학,7,3,0.43,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,상경학부(야),27,12,0.44,9.11.(금),18:00
경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,첨단소재공학과,10,5,0.5,9.11.(금),23:59
경기,사립,한신대학교,논술,인문,동아시아통상학,8,4,0.5,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,신소재화학과,8,4,0.5,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),글로벌비즈니스대학,표준·지식학과,8,4,0.5,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,중국어문화콘텐츠학,6,3,0.5,9.11.(금),18:00
서울,사립,홍익대학교(서울),농어촌학생전형,공과대학,컴퓨터공학과,4,2,0.5,9.11.(금),18:00
경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,의생명과학부(생명과학전공),2,1,0.5,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,보건과학대학,의생명과학과,2,1,0.5,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,AI공과대학,AI건설융합공학과,2,1,0.5,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,AI공과대학,반도체융합공학과 [교직],2,1,0.5,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,예술대학,산업디자인학과 [교직],2,1,0.5,9.11.(금),18:00
경기,사립,안양대학교(안양),학생부교과(농어촌학생),,식품영양학과(교직),2,1,0.5,9.11.(금),18:00
경기,사립,용인대학교,정원외 농어촌학생 특별전형,인문사회융합대학,관광경영학과,2,1,0.5,9.11.(금),18:00
서울,사립,삼육대학교,농어촌전형,,화학생명과학과,2,1,0.5,9.11.(금),18:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),기술경영융합대학,MSDE학과,2,1,0.5,9.11.(금),18:00
서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),문과대학,교육학부,2,1,0.5,9.11.(금),17:00
대전,사립,건양대학교(대전),농어촌학생전형,,의료IT공학과,2,1,0.5,9.11.(금),19:00
대전,사립,건양대학교(대전),농어촌학생전형,,임상의약바이오학과,2,1,0.5,9.11.(금),19:00
세종,사립,홍익대학교(세종),농어촌학생전형,AID융합과학기술대학,나노반도체공학과,2,1,0.5,9.11.(금),18:00
세종,사립,홍익대학교(세종),농어촌학생전형,AID융합과학기술대학,건축공학부,2,1,0.5,9.11.(금),18:00
충남,사립,건양대학교(논산),농어촌학생전형,,의료IT공학과,2,1,0.5,9.11.(금),19:00
충남,사립,건양대학교(논산),농어촌학생전형,,임상의약바이오학과,2,1,0.5,9.11.(금),19:00
충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),간호보건대학,의료정보학과,2,1,0.5,9.11.(금),18:00
충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),천안공과대학,정보통신공학과,2,1,0.5,9.11.(금),18:00
충남,사립,단국대학교(천안),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,의생명과학부(생명과학전공),2,1,0.5,9.11.(금),18:00
충남,사립,호서대학교,- 정원외 학생부교과 농어촌학생전형,,임상병리학과,2,1,0.5,9.11.(금),18:00
충북,사립,우석대학교(진천),학생부교과_농어촌학생(정원외),휴먼테크 융합대학,휴먼테크 자율전공학부(전주) / 경찰행정학과 군사학과 소방방재학과 심리학과 식품영양학과 아동사회복지학부 조리제과제빵학부 조경학과,2,1,0.5,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,AID융합과학기술대학자율전공,10,6,0.6,9.11.(금),18:00
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,AI컴퓨터공학부,10,6,0.6,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,철학,5,3,0.6,9.11.(금),18:00
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,보건학부 작업치료학과,5,3,0.6,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,문화지식융합대학,앙트러프러너십전공,8,5,0.63,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,나노반도체공학과,9,6,0.67,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,영미문화학,6,4,0.67,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,금융·빅데이터학부,3,2,0.67,9.11.(금),18:00
충남,사립,유원대학교(아산),농어촌학생,,물리치료학과,3,2,0.67,9.11.(금),22:00
충남,사립,한국기술교육대학교,농어촌학생[정원외],,데이터경영전공,3,2,0.67,9.11.(금),19:00
충북,사립,우석대학교(진천),실기(실적)위주_농어촌학생(정원외),체육대학,스포츠지도학과(전주) [교직],3,2,0.67,9.11.(금),18:00
충북,사립,유원대학교(영동),농어촌학생,,물리치료학과,3,2,0.67,9.11.(금),22:00
경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,기계공학과,10,7,0.7,9.11.(금),23:59
경기,사립,한신대학교,논술,자연,금융공학,10,7,0.7,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,공공인재빅데이터융합학,7,5,0.71,9.11.(금),18:00
서울,사립,동국대학교(서울),논술,첨단융합,의료인공지능공학과,4,3,0.75,9.11.(금),17:00
서울,사립,성신여자대학교,논술우수자,,융합AI반도체공학과,5,4,0.8,9.11.(금),18:00
서울,사립,성신여자대학교,논술우수자,,컴퓨터공학과,5,4,0.8,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,자유전공학부(과학기술),11,9,0.82,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,독일어문화학,6,5,0.83,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,컴퓨터소프트웨어학과,13,11,0.85,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,지능형반도체공학과,13,11,0.85,9.11.(금),18:00
경기,사립,수원대학교,교과논술전형,혁신공과대학,도시부동산학과,8,7,0.88,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,환경시스템공학과,9,8,0.89,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,인공지능사이버보안학과,10,9,0.9,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,사회복지학부(야),11,10,0.91,9.11.(금),18:00
경기,사립,수원대학교,교과논술전형,지능형SW융합대학,지능형보안학부,12,11,0.92,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,인문대학,유러피언스터디즈전공,11,11,1.0,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,문화지식융합대학,글로벌MICE융합전공,11,11,1.0,9.11.(금),18:00
경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,기후환경·에너지공학과,10,10,1.0,9.11.(금),23:59
세종,사립,고려대학교(세종),논술(일반전형),공공정책대학,공공사회·통일외교학부,10,10,1.0,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),공공정책대학,경제통계학부,8,8,1.0,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),스마트도시학부,스마트도시학부,7,7,1.0,9.11.(금),18:00
서울,사립,성신여자대학교,논술우수자,,수리통계데이터사이언스학부(통계학/빅데이터사이언스),6,6,1.0,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,응용수리과학부,6,6,1.0,9.11.(금),18:00
충북,사립,극동대학교,정원 외 학생부교과 농어촌학생전형(정원 외),,항공운항서비스학과,6,6,1.0,9.11.(금),17:00
경기,사립,안양대학교(안양),학생부교과(농어촌학생),,AI학부,5,5,1.0,9.11.(금),18:00
대전,국립,국립한밭대학교,농어촌학생전형,,신소재공학과,5,5,1.0,9.11.(금),18:00
경기,사립,경기대학교(수원),학생부교과(농어촌학생전형),,사회에너지시스템공학과,4,4,1.0,9.11.(금),17:00
서울,사립,경기대학교(서울),학생부교과(농어촌학생전형),,사회에너지시스템공학과,4,4,1.0,9.11.(금),17:00
서울,사립,동국대학교(서울),논술,이과,통계학과,4,4,1.0,9.11.(금),17:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),조형대학,금속공예디자인학과,4,4,1.0,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,바이오로직스학과,3,3,1.0,9.11.(금),18:00
경기,사립,수원대학교,농어촌학생전형,혁신공과대학,건설환경에너지공학부,3,3,1.0,9.11.(금),18:00
경기,사립,용인대학교,정원외 농어촌학생 특별전형,체육과학대학,스포츠레저학과,3,3,1.0,9.11.(금),18:00
서울,사립,홍익대학교(서울),농어촌학생전형,공과대학,신소재·화공시스템공학부,3,3,1.0,9.11.(금),18:00
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,문화예술학부 글로벌뷰티아트,3,3,1.0,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,바이오나노학과,2,2,1.0,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,식품생명공학과,2,2,1.0,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(종합) 전형,인문계열,경제학과,2,2,1.0,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(종합) 전형,자연계열,신소재공학과,2,2,1.0,9.11.(금),18:00
경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],예술계열,의류디자인학과,2,2,1.0,9.11.(금),18:00
경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,영미인문학과,2,2,1.0,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,인문사회대학,공공인재법학과,2,2,1.0,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,AI공과대학,스마트모빌리티공학과,2,2,1.0,9.11.(금),18:00
경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,스마트인프라공학부 / 건설환경공학전공,2,2,1.0,9.11.(금),17:00
경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,AI응용시스템전공,2,2,1.0,9.11.(금),17:00
경기,사립,용인대학교,정원외 농어촌학생 특별전형,AI바이오융합대학,AI시스템반도체학과,2,2,1.0,9.11.(금),18:00
경기,사립,협성대학교,정원외 [학생부교과]농어촌학생,이공대학,컴퓨터공학과,2,2,1.0,9.11.(금),18:00
서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],예술계열,의류디자인학과,2,2,1.0,9.11.(금),18:00
서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,스마트인프라공학부 / 건설환경공학전공,2,2,1.0,9.11.(금),17:00
서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,AI응용시스템전공,2,2,1.0,9.11.(금),17:00
서울,사립,삼육대학교,농어촌전형,,인공지능융합학부,2,2,1.0,9.11.(금),18:00
서울,사립,삼육대학교,농어촌전형,,환경디자인원예학과,2,2,1.0,9.11.(금),18:00
서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),경상대학,경제학부,2,2,1.0,9.11.(금),17:00
대전,사립,건양대학교(대전),농어촌학생전형,,의료신소재학과,2,2,1.0,9.11.(금),19:00
대전,국립,국립한밭대학교,농어촌학생전형,,정보통신공학과,2,2,1.0,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,인문대학,영어영문학과,2,2,1.0,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,경상대학,경제학과,2,2,1.0,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,경상대학,무역학과,2,2,1.0,9.11.(금),18:00
충남,사립,건양대학교(논산),농어촌학생전형,,의료신소재학과,2,2,1.0,9.11.(금),19:00
충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),자연과학대학,생명과학과,2,2,1.0,9.11.(금),18:00
충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),천안공과대학,환경공학과,2,2,1.0,9.11.(금),18:00
충남,사립,단국대학교(천안),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,영미인문학과,2,2,1.0,9.11.(금),18:00
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,사범학부 특수교육과,2,2,1.0,9.11.(금),18:00
충남,사립,상명대학교(천안),정원외 학생부교과(농어촌학생전형),,간호학과 / -,2,2,1.0,9.11.(금),18:00
충남,사립,유원대학교(아산),농어촌학생,,뷰티케어학과,2,2,1.0,9.11.(금),22:00
충남,사립,한국기술교육대학교,농어촌학생[정원외],,디자인공학과,2,2,1.0,9.11.(금),19:00
충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),인문사회융합대학,경영학과,2,2,1.0,9.11.(금),19:00
충북,사립,유원대학교(영동),농어촌학생,,뷰티케어학과,2,2,1.0,9.11.(금),22:00
충북,국립,충북대학교,학생부종합(농어촌학생전형),경영대학,경영정보학과,2,2,1.0,9.11.(금),19:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,건설환경공학과,1,1,1.0,9.11.(금),18:00
경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,아시아중동학부(중동학전공),1,1,1.0,9.11.(금),18:00
경기,사립,서울장신대학교,학생부교과위주(농어촌 및 특수교육대상자) 농어촌학생(정원외),,신학부 신학과,1,1,1.0,9.11.(금),23:59
경기,사립,안양대학교(안양),학생부교과(농어촌학생),,도시정보공학과,1,1,1.0,9.11.(금),18:00
경기,사립,안양대학교(안양),학생부교과(농어촌학생),,환경에너지공학과,1,1,1.0,9.11.(금),18:00
경기,사립,을지대학교(성남의정부),농어촌학생,,임상병리학과(의정부),1,1,1.0,9.11.(금),18:00
경기,사립,협성대학교,정원외 [학생부교과]농어촌학생,인문사회과학대학,중국어문화학과,1,1,1.0,9.11.(금),18:00
경기,사립,협성대학교,정원외 [학생부교과]농어촌학생,인문사회과학대학,도시행정학과,1,1,1.0,9.11.(금),18:00
경기,사립,협성대학교,정원외 [학생부교과]농어촌학생,경영대학,경영학과,1,1,1.0,9.11.(금),18:00
경기,사립,협성대학교,정원외 [학생부교과]농어촌학생,이공대학,의생명화학과,1,1,1.0,9.11.(금),18:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),정보통신대학,전자공학과,1,1,1.0,9.11.(금),18:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),정보통신대학,ICT융합공학과,1,1,1.0,9.11.(금),18:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),조형대학,산업디자인학과,1,1,1.0,9.11.(금),18:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),인문사회대학,영어영문학과,1,1,1.0,9.11.(금),18:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),기술경영융합대학,산업공학부(ITM전공)_자연,1,1,1.0,9.11.(금),18:00
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),기술경영융합대학,경영학과(경영학전공),1,1,1.0,9.11.(금),18:00
서울,사립,성공회대학교,농어촌학생(정원외),,인문융합콘텐츠학부,1,1,1.0,9.11.(금),18:00
서울,사립,성공회대학교,농어촌학생(정원외),,미래융합학부,1,1,1.0,9.11.(금),18:00
서울,사립,성공회대학교,농어촌학생(정원외),,소프트웨어융합학부,1,1,1.0,9.11.(금),18:00
서울,사립,홍익대학교(서울),농어촌학생전형,건축도시대학,건축학부 실내건축학전공,1,1,1.0,9.11.(금),18:00
서울,사립,홍익대학교(서울),농어촌학생전형,건축도시대학,도시공학과,1,1,1.0,9.11.(금),18:00
서울,사립,홍익대학교(서울),농어촌학생전형,문과대학,영어영문학과,1,1,1.0,9.11.(금),18:00
서울,사립,홍익대학교(서울),농어촌학생전형,문과대학,불어불문학과,1,1,1.0,9.11.(금),18:00
서울,사립,홍익대학교(서울),농어촌학생전형,미술대학,동양화과,1,1,1.0,9.11.(금),18:00
서울,사립,홍익대학교(서울),농어촌학생전형,미술대학,판화과,1,1,1.0,9.11.(금),18:00
대전,국립,국립한밭대학교,농어촌학생전형,,산업디자인학과,1,1,1.0,9.11.(금),18:00
대전,국립,국립한밭대학교,농어촌학생전형,,인공지능소프트웨어학과,1,1,1.0,9.11.(금),18:00
대전,국립,국립한밭대학교,농어촌학생전형,,지능미디어공학과,1,1,1.0,9.11.(금),18:00
대전,사립,을지대학교(대전),농어촌학생,,임상병리학과(의정부),1,1,1.0,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,인문대학,불어불문학과*,1,1,1.0,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,사회과학대학,도시·자치융합학과,1,1,1.0,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,자연과학대학,정보통계학과,1,1,1.0,9.11.(금),18:00
대전,국립,충남대학교,농어촌학생전형,사범대학,건설공학교육과,1,1,1.0,9.11.(금),18:00
세종,사립,홍익대학교(세종),농어촌학생전형,AID융합과학기술대학,조선해양모빌리티공학과,1,1,1.0,9.11.(금),18:00
충남,국립,국립공주대학교,학생부교과전형  농어촌학생전형(정원외),사범대학,체육교육과,1,1,1.0,9.11.(금),18:00
충남,사립,단국대학교(천안),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,아시아중동학부(중동학전공),1,1,1.0,9.11.(금),18:00
충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),인문사회융합대학,영어문화학과,1,1,1.0,9.11.(금),19:00
충북,사립,건국대학교(글로컬),[학생부교과] 농어촌학생(정원외),의료생명대학,바이오의약학과,1,1,1.0,9.11.(금),19:00
충북,국립,충북대학교,학생부종합(농어촌학생전형),인문대학,러시아언어문화학과,1,1,1.0,9.11.(금),19:00
충북,국립,충북대학교,학생부종합(농어촌학생전형),사범대학,영어교육과,1,1,1.0,9.11.(금),19:00
충북,국립,충북대학교,학생부종합(농어촌학생전형),사범대학,생물교육과,1,1,1.0,9.11.(금),19:00
충북,국립,충북대학교,학생부종합(농어촌학생전형),사범대학,지구과학교육과,1,1,1.0,9.11.(금),19:00
충북,국립,한국교원대학교,농어촌학생 특별전형,,영어교육과,1,1,1.0,9.11.(금),18:00
서울,사립,동국대학교(서울),논술,공과,정보통신공학과,12,13,1.08,9.11.(금),17:00
서울,사립,동덕여자대학교,논술우수자전형,인문대학,중어중국학전공,11,12,1.09,9.11.(금),18:00
경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,미래자동차공학과,10,11,1.1,9.11.(금),23:59
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,식품생명공학과,10,11,1.1,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),문화스포츠대학,문화유산융합학부,7,8,1.14,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,,게임학부 게임소프트웨어전공(공학계),7,8,1.14,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,문예창작학,6,7,1.17,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,일본학,6,7,1.17,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,전자및정보공학과,21,25,1.19,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,소프트웨어융합학과,14,17,1.21,9.11.(금),18:00
경기,사립,한신대학교,논술,자연,AI·SW학 (소프트웨어/인공지능/데이터사이언스/XR콘텐츠/지능형IoT),50,61,1.22,9.11.(금),18:00
경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,고분자시스템공학부(고분자공학전공),4,5,1.25,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,예술대학,큐레이터학전공,4,5,1.25,9.11.(금),18:00
대전,사립,건양대학교(대전),농어촌학생전형,,물리치료학과,4,5,1.25,9.11.(금),19:00
충남,사립,건양대학교(논산),농어촌학생전형,,물리치료학과,4,5,1.25,9.11.(금),19:00
충남,사립,단국대학교(천안),[논술위주] 논술우수자 경쟁률 현황 (죽전),,고분자시스템공학부(고분자공학전공),4,5,1.25,9.11.(금),18:00
충남,사립,호서대학교,- 정원외 학생부교과 농어촌학생전형,,"건축토목공학부(건축공학트랙, 토목공학트랙)",11,5,1.27,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),글로벌비즈니스대학,글로벌학부,21,27,1.29,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,경영학,10,13,1.3,9.11.(금),18:00
경기,사립,한신대학교,논술,자연,AI시스템반도체학,10,13,1.3,9.11.(금),18:00
경기,사립,을지대학교(성남의정부),논술우수자,,자유전공학부(의정부),29,38,1.31,9.11.(금),18:00
대전,사립,을지대학교(대전),논술우수자,,자유전공학부(의정부),29,38,1.31,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,인문대학,영어전공,12,16,1.33,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,인문대학,일어일본학전공,9,12,1.33,9.11.(금),18:00
경기,사립,한신대학교,논술,인문,한국사학,6,8,1.33,9.11.(금),18:00
경기,사립,경기대학교(수원),학생부교과(농어촌학생전형),,"바이오융합학부 / 생명과학전공, 식품생물공학전공",3,4,1.33,9.11.(금),17:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,보건과학대학,스포츠건강과학과,3,4,1.33,9.11.(금),18:00
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,예술대학,시각디자인학과 [교직],3,4,1.33,9.11.(금),18:00
서울,사립,경기대학교(서울),학생부교과(농어촌학생전형),,"바이오융합학부 / 생명과학전공, 식품생물공학전공",3,4,1.33,9.11.(금),17:00
서울,사립,한성대학교,농어촌학생전형,IT공과대학,IT공과대학,19,26,1.37,9.11.(금),18:00
서울,사립,동국대학교(서울),논술,공과,에너지신소재공학과,8,11,1.38,9.11.(금),17:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),공학계,컴퓨터공학부,15,21,1.4,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,AI기계융합공학과,10,14,1.4,9.11.(금),18:00
세종,사립,홍익대학교(세종),농어촌학생전형,상경대학,상경학부,5,7,1.4,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,상경대학,상경학부,30,43,1.43,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,미래모빌리티학과,7,10,1.43,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,법행정세무학부,25,36,1.44,9.11.(금),18:00
경기,사립,을지대학교(성남의정부),논술우수자,,첨단학부,11,16,1.45,9.11.(금),18:00
대전,사립,을지대학교(대전),논술우수자,,첨단학부,11,16,1.45,9.11.(금),18:00
세종,사립,홍익대학교(세종),논술전형,AID융합과학기술대학,전자전기융합공학과,11,16,1.45,9.11.(금),18:00
경기,사립,수원대학교,교과논술전형,지능형SW융합대학,컴퓨터공학부,32,47,1.47,9.11.(금),18:00
경기,사립,강남대학교,[정원내]논술위주(논술전형),공학계,인공지능융합공학부,19,28,1.47,9.11.(금),18:00
경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,전자공학과,10,15,1.5,9.11.(금),23:59
서울,사립,동덕여자대학교,논술우수자전형,인문대학,국어국문학전공,10,15,1.5,9.11.(금),18:00
충북,사립,극동대학교,정원 외 학생부교과 농어촌학생전형(정원 외),,간호학과,10,15,1.5,9.11.(금),17:00
서울,사립,동덕여자대학교,논술우수자전형,인문대학,국사학전공,8,12,1.5,9.11.(금),18:00
서울,사립,동덕여자대학교,논술우수자전형,인문대학,문예창작전공,8,12,1.5,9.11.(금),18:00
세종,사립,고려대학교(세종),논술(일반전형),공공정책대학,정부행정학부,8,12,1.5,9.11.(금),18:00
서울,사립,숙명여자대학교,[논술] 논술우수자전형,공과대학,컴퓨터과학전공,6,9,1.5,9.11.(금),17:00
서울,사립,동국대학교(서울),논술,이과,화학과,4,6,1.5,9.11.(금),17:00
서울,사립,홍익대학교(서울),농어촌학생전형,공과대학,기계·시스템디자인공학과,4,6,1.5,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(교과) 전형,인문계열,미디어커뮤니케이션학과,2,3,1.5,9.11.(금),18:00
경기,사립,가천대학교(성남),농어촌(종합) 전형,인문계열,응용통계학과,2,3,1.5,9.11.(금),18:00
경기,사립,강남대학교,[정원내]학생부교과(농어촌학생전형),인문사회계,교육학과,2,3,1.5,9.11.(금),18:00
경기,사립,경기대학교(수원),학생부교과(농어촌학생전형),,사학과,2,3,1.5,9.11.(금),17:00
경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,AI건축융합학과,2,3,1.5,9.11.(금),18:00
